"A_AWid","AYear","AType","Aid"
6853,1940,"Oscar","77948"
6418,1941,"Oscar","43970"
5071,1943,"Oscar","31849"
5643,1950,"Oscar","88060"
6246,1955,"Oscar","85424"
5943,1960,"Oscar","54020"
5604,1966,"Oscar","54020"
5385,1969,"Oscar","66954"
5169,1970,"Oscar","30870"
5264,1971,"Oscar","50817"
5770,1972,"Oscar","79555"
6409,1973,"Oscar","73739"
6621,1974,"Oscar","55266"
5537,1977,"Oscar","13391"
6948,1977,"Oscar","16331"
5451,1978,"Oscar","68656"
6274,1978,"Oscar","92182"
6574,1978,"Oscar","81461"
6048,1979,"Oscar","83728"
5942,1979,"Oscar","47106"
6896,1979,"Oscar","90726"
6240,1980,"Oscar","44332"
6694,1980,"Oscar","24473"
6212,1980,"Oscar","70508"
5727,1981,"Oscar","91178"
6674,1981,"Oscar","57640"
5068,1981,"Oscar","49563"
5127,1982,"Oscar","60282"
6020,1983,"Oscar","10768"
6703,1983,"Oscar","70508"
5094,1983,"Oscar","65019"
6718,1984,"Oscar","31090"
6802,1984,"Oscar","41538"
6498,1985,"Oscar","24473"
6359,1986,"Oscar","99592"
6107,1986,"Oscar","86231"
5164,1987,"Oscar","54134"
6518,1987,"Oscar","34753"
6647,1988,"Oscar","39534"
5100,1988,"Oscar","74355"
5015,1988,"Oscar","67898"
6350,1989,"Oscar","44332"
6061,1989,"Oscar","33427"
6967,1989,"Oscar","37274"
6555,1990,"Oscar","77948"
5279,1991,"Oscar","36610"
5040,1991,"Oscar","39229"
6124,1991,"Oscar","78501"
6801,1992,"Oscar","20058"
5189,1992,"Oscar","33427"
5551,1993,"Oscar","65784"
6373,1993,"Oscar","80868"
6085,1993,"Oscar","84783"
5758,1994,"Oscar","88858"
5651,1994,"Oscar","33289"
6560,1994,"Oscar","39111"
5277,1995,"Oscar","88858"
6851,1995,"Oscar","65019"
6846,1995,"Oscar","34753"
5603,1996,"Oscar","76587"
6044,1996,"Oscar","76726"
5741,1996,"Oscar","63113"
6197,1997,"Oscar","64302"
6351,1997,"Oscar","14069"
6401,1997,"Oscar","34246"
6295,1998,"Oscar","99063"
6472,1998,"Oscar","23021"
5761,1998,"Oscar","88515"
5744,1999,"Oscar","51938"
6052,1999,"Oscar","12040"
5392,2000,"Oscar","47370"
6889,2000,"Oscar","86828"
5512,2000,"Oscar","63297"
6590,2001,"Oscar","89325"
5709,2001,"Oscar","59716"
5280,2001,"Oscar","88770"
6869,2002,"Oscar","82063"
5928,2002,"Oscar","75443"
5183,2002,"Oscar","44241"
6496,2003,"Oscar","84603"
5268,2003,"Oscar","64213"
6643,2003,"Oscar","23830"
6641,2004,"Oscar","53529"
5665,2004,"Oscar","46441"
6424,2004,"Oscar","59515"
6315,2005,"Oscar","86828"
6934,2005,"Oscar","62063"
5499,2006,"Oscar","51329"
5755,2006,"Oscar","55324"
5689,2006,"Oscar","32436"
6255,2007,"Oscar","99817"
5089,2007,"Oscar","11158"
6027,2007,"Oscar","33552"
5132,2008,"Oscar","44687"
5586,2008,"Oscar","47327"
6640,2008,"Oscar","32799"
5475,2009,"Oscar","53529"
6080,2009,"Oscar","77805"
5108,2009,"Oscar","89334"
6196,2010,"Oscar","13945"
6769,2010,"Oscar","94182"
5029,2011,"Oscar","10668"
6029,2011,"Oscar","77772"
5492,2011,"Oscar","85967"
6780,2012,"Oscar","67138"
5240,2012,"Oscar","70508"
5612,2012,"Oscar","27906"
6509,2013,"Oscar","44687"
6578,2013,"Oscar","46567"
6681,2013,"Oscar","80328"
6089,2014,"Oscar","25105"
6323,2014,"Oscar","62063"
6883,2014,"Oscar","96897"
5929,2015,"Oscar","41801"
6120,2015,"Oscar","44370"
5968,2015,"Oscar","39485"
6716,2016,"Oscar","91436"
6983,2016,"Oscar","94988"
5882,2016,"Oscar","39311"
6539,2017,"Oscar","60154"
5039,2017,"Oscar","66788"
5281,2017,"Oscar","32526"
5269,2018,"Oscar","50515"
5614,2018,"Oscar","14069"
6852,2018,"Oscar","95190"
6122,2019,"Oscar","90496"
5201,2019,"Oscar","95689"
5457,2019,"Oscar","39165"
6405,2020,"Oscar","73534"
5688,2020,"Oscar","59515"
5746,2020,"Oscar","65172"
5456,1945,"Golden Globe","80878"
5052,1946,"Golden Globe","43374"
6660,1948,"Golden Globe","12757"
6436,1949,"Golden Globe","19477"
5041,1950,"Golden Globe","88060"
5979,1952,"Golden Globe","14545"
6234,1952,"Golden Globe","88563"
5339,1952,"Golden Globe","73752"
5644,1954,"Golden Globe","61202"
5368,1955,"Golden Globe","93619"
6877,1955,"Golden Globe","93906"
6725,1955,"Golden Globe","94136"
5165,1955,"Golden Globe","41538"
6372,1956,"Golden Globe","44326"
6169,1956,"Golden Globe","63781"
6006,1957,"Golden Globe","73739"
5044,1957,"Golden Globe","16375"
5966,1957,"Golden Globe","52296"
6903,1957,"Golden Globe","41018"
6629,1957,"Golden Globe","10852"
5448,1957,"Golden Globe","19308"
5999,1957,"Golden Globe","54134"
5378,1958,"Golden Globe","83818"
6566,1958,"Golden Globe","61202"
5630,1958,"Golden Globe","19540"
5472,1958,"Golden Globe","31807"
6220,1959,"Golden Globe","14545"
5373,1959,"Golden Globe","17686"
5977,1959,"Golden Globe","27686"
6081,1960,"Golden Globe","20649"
5090,1960,"Golden Globe","68670"
5172,1960,"Golden Globe","58811"
6349,1960,"Golden Globe","14415"
5661,1960,"Golden Globe","35102"
6113,1961,"Golden Globe","68670"
6510,1961,"Golden Globe","95183"
5180,1961,"Golden Globe","47725"
5559,1961,"Golden Globe","41538"
6858,1962,"Golden Globe","57270"
5441,1962,"Golden Globe","10149"
5417,1962,"Golden Globe","47106"
6913,1962,"Golden Globe","16331"
6601,1963,"Golden Globe","69980"
6444,1963,"Golden Globe","43374"
5566,1963,"Golden Globe","11715"
6806,1963,"Golden Globe","31697"
5946,1963,"Golden Globe","34060"
5316,1963,"Golden Globe","48080"
5213,1964,"Golden Globe","14775"
5422,1964,"Golden Globe","94136"
5390,1964,"Golden Globe","68230"
5626,1964,"Golden Globe","41538"
6018,1965,"Golden Globe","75688"
5745,1965,"Golden Globe","48080"
5318,1965,"Golden Globe","80878"
5302,1965,"Golden Globe","69358"
5926,1966,"Golden Globe","11715"
5481,1966,"Golden Globe","66954"
5939,1966,"Golden Globe","39476"
6475,1966,"Golden Globe","79631"
6700,1967,"Golden Globe","52772"
6157,1967,"Golden Globe","29061"
6038,1967,"Golden Globe","57941"
5615,1968,"Golden Globe","40701"
5818,1968,"Golden Globe","85776"
6195,1968,"Golden Globe","44332"
6502,1968,"Golden Globe","75688"
5111,1968,"Golden Globe","78416"
6969,1969,"Golden Globe","48080"
6102,1969,"Golden Globe","90060"
5186,1969,"Golden Globe","66954"
5863,1969,"Golden Globe","77948"
5713,1969,"Golden Globe","91436"
6482,1969,"Golden Globe","19854"
5021,1970,"Golden Globe","54523"
5574,1970,"Golden Globe","48080"
5182,1970,"Golden Globe","30870"
5453,1970,"Golden Globe","83728"
5399,1971,"Golden Globe","47191"
5487,1971,"Golden Globe","17573"
6391,1971,"Golden Globe","27625"
6438,1972,"Golden Globe","47106"
5032,1972,"Golden Globe","18346"
6289,1972,"Golden Globe","10149"
6930,1972,"Golden Globe","86340"
6546,1973,"Golden Globe","93619"
6347,1973,"Golden Globe","68670"
5025,1973,"Golden Globe","54020"
5084,1973,"Golden Globe","27625"
5959,1973,"Golden Globe","54887"
5602,1974,"Golden Globe","22102"
6180,1974,"Golden Globe","65784"
6764,1974,"Golden Globe","89601"
6466,1974,"Golden Globe","74355"
5343,1974,"Golden Globe","55266"
5149,1975,"Golden Globe","99063"
6254,1975,"Golden Globe","59383"
5957,1975,"Golden Globe","14415"
6139,1975,"Golden Globe","53759"
5194,1975,"Golden Globe","41570"
5618,1975,"Golden Globe","14833"
6271,1976,"Golden Globe","74355"
5151,1976,"Golden Globe","99063"
5419,1976,"Golden Globe","10149"
6074,1976,"Golden Globe","87039"
5811,1976,"Golden Globe","79555"
6723,1976,"Golden Globe","41570"
6626,1976,"Golden Globe","21681"
5405,1976,"Golden Globe","20695"
5413,1977,"Golden Globe","13391"
5388,1977,"Golden Globe","19854"
6754,1977,"Golden Globe","50090"
6781,1977,"Golden Globe","53019"
6610,1977,"Golden Globe","82263"
6017,1977,"Golden Globe","65019"
5212,1977,"Golden Globe","49802"
5902,1978,"Golden Globe","47106"
5466,1978,"Golden Globe","92182"
5202,1978,"Golden Globe","22102"
6155,1978,"Golden Globe","68656"
6719,1978,"Golden Globe","81461"
5826,1978,"Golden Globe","92684"
5660,1978,"Golden Globe","92101"
6742,1978,"Golden Globe","82263"
6521,1979,"Golden Globe","47106"
6863,1979,"Golden Globe","83728"
5598,1979,"Golden Globe","51858"
6533,1979,"Golden Globe","90726"
6318,1979,"Golden Globe","16331"
5510,1979,"Golden Globe","57089"
6310,1979,"Golden Globe","70806"
5765,1979,"Golden Globe","12024"
6540,1979,"Golden Globe","44123"
5205,1979,"Golden Globe","42508"
5012,1979,"Golden Globe","39546"
6627,1979,"Golden Globe","72349"
6452,1979,"Golden Globe","92445"
6567,1980,"Golden Globe","24473"
5732,1980,"Golden Globe","44332"
5258,1980,"Golden Globe","72217"
5711,1980,"Golden Globe","87301"
6170,1980,"Golden Globe","70508"
5479,1980,"Golden Globe","31090"
6587,1980,"Golden Globe","10852"
5748,1980,"Golden Globe","42508"
5918,1980,"Golden Globe","41570"
5506,1980,"Golden Globe","72349"
5220,1980,"Golden Globe","94695"
6774,1980,"Golden Globe","40421"
6279,1981,"Golden Globe","91178"
5093,1981,"Golden Globe","57640"
5872,1981,"Golden Globe","49563"
5327,1981,"Golden Globe","16808"
6112,1981,"Golden Globe","41570"
5115,1981,"Golden Globe","41860"
6283,1981,"Golden Globe","56698"
5297,1981,"Golden Globe","94695"
6095,1982,"Golden Globe","70508"
5980,1982,"Golden Globe","60282"
5416,1982,"Golden Globe","20367"
5834,1982,"Golden Globe","27704"
5505,1982,"Golden Globe","99982"
5371,1982,"Golden Globe","41570"
6736,1982,"Golden Globe","41860"
6133,1983,"Golden Globe","70508"
6570,1983,"Golden Globe","10768"
6874,1983,"Golden Globe","44332"
6531,1983,"Golden Globe","65019"
5992,1983,"Golden Globe","43597"
5239,1983,"Golden Globe","29505"
6076,1983,"Golden Globe","41570"
5812,1983,"Golden Globe","66831"
6784,1983,"Golden Globe","66740"
6114,1984,"Golden Globe","41538"
6766,1984,"Golden Globe","22933"
6299,1984,"Golden Globe","31090"
5656,1984,"Golden Globe","73730"
5735,1984,"Golden Globe","84554"
6583,1984,"Golden Globe","74355"
6986,1984,"Golden Globe","99063"
6321,1984,"Golden Globe","10149"
5083,1984,"Golden Globe","97776"
6278,1985,"Golden Globe","24473"
5319,1985,"Golden Globe","41728"
6865,1985,"Golden Globe","10149"
6825,1985,"Golden Globe","71156"
5751,1985,"Golden Globe","43374"
5878,1985,"Golden Globe","66831"
5432,1985,"Golden Globe","96953"
5650,1985,"Golden Globe","13391"
5380,1986,"Golden Globe","78501"
5429,1986,"Golden Globe","83728"
6960,1986,"Golden Globe","41728"
6884,1986,"Golden Globe","99063"
6631,1986,"Golden Globe","44332"
6976,1986,"Golden Globe","51427"
5663,1986,"Golden Globe","96953"
5805,1986,"Golden Globe","54887"
6878,1987,"Golden Globe","47673"
5697,1987,"Golden Globe","57640"
5845,1987,"Golden Globe","90726"
6702,1987,"Golden Globe","59036"
5404,1987,"Golden Globe","70128"
6239,1987,"Golden Globe","19540"
6123,1987,"Golden Globe","11841"
6291,1987,"Golden Globe","43374"
6385,1987,"Golden Globe","54887"
6707,1987,"Golden Globe","51427"
5736,1987,"Golden Globe","32181"
6947,1988,"Golden Globe","47377"
5694,1988,"Golden Globe","39534"
6345,1988,"Golden Globe","74355"
5236,1988,"Golden Globe","39546"
6581,1988,"Golden Globe","67898"
5133,1988,"Golden Globe","42949"
5170,1988,"Golden Globe","49328"
5627,1988,"Golden Globe","76044"
6597,1988,"Golden Globe","30521"
5562,1989,"Golden Globe","33427"
5917,1989,"Golden Globe","41538"
6040,1989,"Golden Globe","73357"
6305,1989,"Golden Globe","44332"
6312,1989,"Golden Globe","20684"
6783,1989,"Golden Globe","88858"
6957,1989,"Golden Globe","78416"
6186,1989,"Golden Globe","84554"
6247,1989,"Golden Globe","57892"
5628,1989,"Golden Globe","14268"
6859,1989,"Golden Globe","93277"
6959,1989,"Golden Globe","69105"
5865,1989,"Golden Globe","34418"
6176,1989,"Golden Globe","95093"
5728,1989,"Golden Globe","16808"
6867,1989,"Golden Globe","61372"
6387,1990,"Golden Globe","13877"
6900,1990,"Golden Globe","44996"
5208,1990,"Golden Globe","30624"
6390,1990,"Golden Globe","59716"
5693,1990,"Golden Globe","82063"
5454,1990,"Golden Globe","74450"
6600,1990,"Golden Globe","31090"
5893,1990,"Golden Globe","43374"
6191,1990,"Golden Globe","65927"
5367,1990,"Golden Globe","71156"
5253,1990,"Golden Globe","91759"
6068,1991,"Golden Globe","39229"
5197,1991,"Golden Globe","36610"
6844,1991,"Golden Globe","59716"
5294,1991,"Golden Globe","65615"
5543,1991,"Golden Globe","78501"
5116,1991,"Golden Globe","42286"
5350,1991,"Golden Globe","54429"
5473,1991,"Golden Globe","19540"
5092,1991,"Golden Globe","28749"
5312,1991,"Golden Globe","95278"
6104,1991,"Golden Globe","71156"
6714,1991,"Golden Globe","73253"
5719,1992,"Golden Globe","33427"
6827,1992,"Golden Globe","67563"
5791,1992,"Golden Globe","72217"
6057,1992,"Golden Globe","39546"
5054,1992,"Golden Globe","60111"
5494,1992,"Golden Globe","16331"
6248,1992,"Golden Globe","43374"
6238,1992,"Golden Globe","94521"
6270,1992,"Golden Globe","69105"
6226,1992,"Golden Globe","99013"
6356,1992,"Golden Globe","43597"
5677,1993,"Golden Globe","80868"
6135,1993,"Golden Globe","65784"
6982,1993,"Golden Globe","71161"
5275,1993,"Golden Globe","82215"
6277,1993,"Golden Globe","23489"
5484,1993,"Golden Globe","18346"
6906,1993,"Golden Globe","65172"
5901,1993,"Golden Globe","31090"
6064,1993,"Golden Globe","11593"
6936,1993,"Golden Globe","33717"
5803,1994,"Golden Globe","33289"
5241,1994,"Golden Globe","88858"
5486,1994,"Golden Globe","78746"
5698,1994,"Golden Globe","39546"
5072,1994,"Golden Globe","58276"
6451,1994,"Golden Globe","87582"
5142,1994,"Golden Globe","72217"
5010,1994,"Golden Globe","19540"
5800,1994,"Golden Globe","98414"
6552,1994,"Golden Globe","23021"
5147,1994,"Golden Globe","46381"
6656,1994,"Golden Globe","16331"
6666,1995,"Golden Globe","65019"
5652,1995,"Golden Globe","88858"
5571,1995,"Golden Globe","65927"
5395,1995,"Golden Globe","63438"
5536,1995,"Golden Globe","34753"
5876,1995,"Golden Globe","78416"
5003,1995,"Golden Globe","89040"
5225,1995,"Golden Globe","23021"
5463,1995,"Golden Globe","51239"
6479,1995,"Golden Globe","71161"
6262,1995,"Golden Globe","54887"
6383,1996,"Golden Globe","99022"
6471,1996,"Golden Globe","76587"
6087,1996,"Golden Globe","64213"
5389,1996,"Golden Globe","62327"
6873,1996,"Golden Globe","63113"
6455,1996,"Golden Globe","76348"
5493,1996,"Golden Globe","65019"
6554,1996,"Golden Globe","41442"
5906,1996,"Golden Globe","52468"
5215,1996,"Golden Globe","51427"
5257,1996,"Golden Globe","73226"
6450,1996,"Golden Globe","54903"
5191,1996,"Golden Globe","12625"
5430,1997,"Golden Globe","64302"
6105,1997,"Golden Globe","44996"
6642,1997,"Golden Globe","54887"
5402,1997,"Golden Globe","11158"
6223,1997,"Golden Globe","91120"
5631,1997,"Golden Globe","76928"
6857,1997,"Golden Globe","40107"
6028,1997,"Golden Globe","23021"
6743,1997,"Golden Globe","22538"
6333,1997,"Golden Globe","39229"
6368,1997,"Golden Globe","29151"
5960,1998,"Golden Globe","12040"
5353,1998,"Golden Globe","34046"
5226,1998,"Golden Globe","23021"
6779,1998,"Golden Globe","99063"
6309,1998,"Golden Globe","88515"
6419,1998,"Golden Globe","99013"
6204,1998,"Golden Globe","59965"
5920,1998,"Golden Globe","40294"
6733,1998,"Golden Globe","74450"
6054,1998,"Golden Globe","54887"
6941,1998,"Golden Globe","11032"
5861,1998,"Golden Globe","34418"
6026,1998,"Golden Globe","63297"
6439,1999,"Golden Globe","62063"
5760,1999,"Golden Globe","22215"
6665,1999,"Golden Globe","51938"
5176,1999,"Golden Globe","84554"
5495,1999,"Golden Globe","29061"
6339,1999,"Golden Globe","19458"
5311,1999,"Golden Globe","63297"
6748,1999,"Golden Globe","19304"
6367,1999,"Golden Globe","59477"
6964,1999,"Golden Globe","67812"
6109,1999,"Golden Globe","78473"
6973,1999,"Golden Globe","34418"
6251,1999,"Golden Globe","13391"
6915,1999,"Golden Globe","95056"
6296,1999,"Golden Globe","97412"
6422,2000,"Golden Globe","86828"
5362,2000,"Golden Globe","82063"
5856,2000,"Golden Globe","55486"
6984,2000,"Golden Globe","22215"
5331,2000,"Golden Globe","63297"
6250,2000,"Golden Globe","44996"
5664,2000,"Golden Globe","75443"
6536,2000,"Golden Globe","68670"
6411,2000,"Golden Globe","65002"
5544,2000,"Golden Globe","50577"
6592,2000,"Golden Globe","44035"
6755,2000,"Golden Globe","34418"
5972,2000,"Golden Globe","82360"
6910,2000,"Golden Globe","34046"
6134,2001,"Golden Globe","59716"
5308,2001,"Golden Globe","88858"
6361,2001,"Golden Globe","59515"
6453,2001,"Golden Globe","14746"
6457,2001,"Golden Globe","48229"
6215,2001,"Golden Globe","37001"
5982,2001,"Golden Globe","12040"
6625,2001,"Golden Globe","22733"
5079,2001,"Golden Globe","38331"
6663,2001,"Golden Globe","44106"
5864,2001,"Golden Globe","44035"
5617,2001,"Golden Globe","73226"
5057,2001,"Golden Globe","81461"
5616,2001,"Golden Globe","95177"
5309,2002,"Golden Globe","57640"
6461,2002,"Golden Globe","89325"
6084,2002,"Golden Globe","64213"
6508,2002,"Golden Globe","18346"
6668,2002,"Golden Globe","44241"
5871,2002,"Golden Globe","66995"
5723,2002,"Golden Globe","60111"
5669,2002,"Golden Globe","59299"
6650,2002,"Golden Globe","14029"
6425,2002,"Golden Globe","66308"
5855,2002,"Golden Globe","44035"
5503,2002,"Golden Globe","46419"
5657,2002,"Golden Globe","15635"
5558,2002,"Golden Globe","19304"
6777,2003,"Golden Globe","64213"
6697,2003,"Golden Globe","99063"
6217,2003,"Golden Globe","59515"
6830,2003,"Golden Globe","67698"
5296,2003,"Golden Globe","70508"
5304,2003,"Golden Globe","36865"
6460,2003,"Golden Globe","83641"
5064,2003,"Golden Globe","65002"
5610,2003,"Golden Globe","77647"
6891,2003,"Golden Globe","87162"
6162,2003,"Golden Globe","57917"
5322,2003,"Golden Globe","12625"
6088,2004,"Golden Globe","46441"
5233,2004,"Golden Globe","53529"
5639,2004,"Golden Globe","92182"
5951,2004,"Golden Globe","25348"
5477,2004,"Golden Globe","59515"
6106,2004,"Golden Globe","82215"
6399,2004,"Golden Globe","70508"
6335,2004,"Golden Globe","65784"
5862,2004,"Golden Globe","79863"
6822,2004,"Golden Globe","52149"
5607,2004,"Golden Globe","44035"
6950,2004,"Golden Globe","25203"
6313,2004,"Golden Globe","47227"
5924,2004,"Golden Globe","21607"
5927,2005,"Golden Globe","86828"
6927,2005,"Golden Globe","91436"
6210,2005,"Golden Globe","30608"
6334,2005,"Golden Globe","77772"
5195,2005,"Golden Globe","67397"
6189,2005,"Golden Globe","22551"
5715,2005,"Golden Globe","64302"
5776,2005,"Golden Globe","63315"
6493,2005,"Golden Globe","74355"
6537,2005,"Golden Globe","27951"
5440,2005,"Golden Globe","86231"
5464,2005,"Golden Globe","37562"
5831,2006,"Golden Globe","52101"
6440,2006,"Golden Globe","51329"
6565,2006,"Golden Globe","55324"
6512,2006,"Golden Globe","73534"
5397,2006,"Golden Globe","32436"
6221,2006,"Golden Globe","14746"
6397,2006,"Golden Globe","39965"
5809,2006,"Golden Globe","90133"
6832,2006,"Golden Globe","37274"
6520,2006,"Golden Globe","19695"
5588,2006,"Golden Globe","47227"
6182,2006,"Golden Globe","30596"
5948,2006,"Golden Globe","29752"
5433,2006,"Golden Globe","54134"
6786,2007,"Golden Globe","11158"
6002,2007,"Golden Globe","99817"
5533,2007,"Golden Globe","70508"
6503,2007,"Golden Globe","11050"
5048,2007,"Golden Globe","33552"
5840,2007,"Golden Globe","85019"
6768,2007,"Golden Globe","77090"
5778,2007,"Golden Globe","95407"
6159,2007,"Golden Globe","19695"
6824,2007,"Golden Globe","98218"
5887,2007,"Golden Globe","72374"
6307,2007,"Golden Globe","11450"
6638,2007,"Golden Globe","36610"
6298,2008,"Golden Globe","14259"
